example_id,youtube_id,start_s,duration_s,caption,labels,audio_path,mel_path
00000_-0Gj8-vB1q4,-0Gj8-vB1q4,30.0,10.0,"The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.","[""['low quality'"", ""'sustained strings melody'"", ""'soft female vocal'"", ""'mellow piano melody'"", ""'sad'"", ""'soulful'"", ""'ballad']""]",data/processed/musiccaps/audio/00000_-0Gj8-vB1q4.wav,data/processed/musiccaps/mel/00000_-0Gj8-vB1q4.npy
00001_-0SdAVK79lg,-0SdAVK79lg,30.0,10.0,This song features an electric guitar as the main instrument. The guitar plays a descending run in the beginning then plays an arpeggiated chord followed by a double stop hammer on to a higher note and a descending slide followed by a descending chord run. The percussion plays a simple beat using rim shots. The percussion plays in common time. The bass plays only one note on the first count of each bar. The piano plays backing chords. There are no voices in this song. The mood of this song is relaxing. This song can be played in a coffee shop.,"[""['guitar song'"", ""'piano backing'"", ""'simple percussion'"", ""'relaxing melody'"", ""'slow tempo'"", ""'bass'"", ""'country feel'"", ""'instrumental'"", ""'no voice']""]",data/processed/musiccaps/audio/00001_-0SdAVK79lg.wav,data/processed/musiccaps/mel/00001_-0SdAVK79lg.npy
00002_-0vPFx-wRRI,-0vPFx-wRRI,30.0,10.0,"a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.","[""['amateur recording'"", ""'finger snipping'"", ""'male mid range voice singing'"", ""'reverb']""]",data/processed/musiccaps/audio/00002_-0vPFx-wRRI.wav,data/processed/musiccaps/mel/00002_-0vPFx-wRRI.npy
00003_-0xzrMun0Rs,-0xzrMun0Rs,30.0,10.0,This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,"[""['backing track'"", ""'jazzy'"", ""'digital drums'"", ""'piano'"", ""'e-bass'"", ""'trumpet'"", ""'acoustic guitar'"", ""'digital keyboard song'"", ""'medium tempo']""]",data/processed/musiccaps/audio/00003_-0xzrMun0Rs.wav,data/processed/musiccaps/mel/00003_-0xzrMun0Rs.npy
00004_-1LrH01Ei1w,-1LrH01Ei1w,30.0,10.0,This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,"[""['rubab instrument'"", ""'repetitive melody on different octaves'"", ""'no other instruments'"", ""'plucked string instrument'"", ""'no voice'"", ""'instrumental'"", ""'fast tempo']""]",data/processed/musiccaps/audio/00004_-1LrH01Ei1w.wav,data/processed/musiccaps/mel/00004_-1LrH01Ei1w.npy
00005_-1OlgJWehn8,-1OlgJWehn8,30.0,10.0,"This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.","[""['instrumental'"", ""'white noise'"", ""'female vocalisation'"", ""'three unrelated tracks'"", ""'electric guitar harmony'"", ""'bass guitar'"", ""'keyboard harmony'"", ""'female lead vocalisation'"", ""'slick drumming'"", ""'boomy bass drops'"", ""'male voice backup vocalisation']""]",data/processed/musiccaps/audio/00005_-1OlgJWehn8.wav,data/processed/musiccaps/mel/00005_-1OlgJWehn8.npy
00006_-1UWSisR2zo,-1UWSisR2zo,30.0,10.0,"A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.","[""['live performance'"", ""'poor audio quality'"", ""'ambient noises'"", ""'school dance program'"", ""'crowd noise'"", ""'high gain volume'"", ""'hissing tones'"", ""'medium tempo'"", ""'techno dance song'"", ""'male singer'"", ""'groovy bass line'"", ""'techno dance rhythm'"", ""'keyboard accompaniment'"", ""'kids dancing'"", ""'noisy crowds'"", ""'home video'"", ""'school program'"", ""'noise']""]",data/processed/musiccaps/audio/00006_-1UWSisR2zo.wav,data/processed/musiccaps/mel/00006_-1UWSisR2zo.npy
00007_-3Kv4fdm7Uk,-3Kv4fdm7Uk,30.0,10.0,someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,"[""['steeldrum'"", ""'higher register'"", ""'amateur recording']""]",data/processed/musiccaps/audio/00007_-3Kv4fdm7Uk.wav,data/processed/musiccaps/mel/00007_-3Kv4fdm7Uk.npy
00008_-4NLarMj4xU,-4NLarMj4xU,30.0,10.0,"The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.","[""['pop'"", ""'tinny wide hi hats'"", ""'mellow piano melody'"", ""'high pitched female vocal melody'"", ""'sustained pulsating synth lead'"", ""'soft female vocal'"", ""'punchy kick'"", ""'sustained synth bass'"", ""'claps'"", ""'emotional'"", ""'sad'"", ""'passionate']""]",data/processed/musiccaps/audio/00008_-4NLarMj4xU.wav,data/processed/musiccaps/mel/00008_-4NLarMj4xU.npy
00009_-4SYC2YgzL8,-4SYC2YgzL8,30.0,10.0,"low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. Also present are occasional ambient sounds, perhaps papers being shuffled.","[""['solo live direct input acoustic guitar strumming'"", ""'airy suspended open chords'"", ""'low fidelity'"", ""'ambient sounds'"", ""'paper shuffling']""]",data/processed/musiccaps/audio/00009_-4SYC2YgzL8.wav,data/processed/musiccaps/mel/00009_-4SYC2YgzL8.npy
00010_-5FoeegAgvU,-5FoeegAgvU,230.0,10.0,The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,"[""['brass'"", ""'double bass'"", ""'strings'"", ""'instrumental'"", ""'no voice'"", ""'percussion']""]",data/processed/musiccaps/audio/00010_-5FoeegAgvU.wav,data/processed/musiccaps/mel/00010_-5FoeegAgvU.npy
00011_-5f6hjZf9Yw,-5f6hjZf9Yw,30.0,10.0,This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,"[""['folk music'"", ""'rubab'"", ""'male voice'"", ""'slow tempo'"", ""'emotional song'"", ""'low quality audio'"", ""'violin'"", ""'accordion']""]",data/processed/musiccaps/audio/00011_-5f6hjZf9Yw.wav,data/processed/musiccaps/mel/00011_-5f6hjZf9Yw.npy
00012_-5xOcMJpTUk,-5xOcMJpTUk,70.0,10.0,"A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.","[""['guitarist'"", ""'male talking'"", ""'twang sounds'"", ""'mediocre audio quality'"", ""'guitar string tones'"", ""'guitar technique'"", ""'fretboard sounds'"", ""'guitar demo'"", ""'online guitar lessons'"", ""'home music video'"", ""'youtube tutorial'"", ""'bas]d audio quality'"", ""'humming noise'"", ""'energetic'"", ""'passionate'"", ""'spirited okay'"", ""'strong voice'"", ""'ambient room noises']""]",data/processed/musiccaps/audio/00012_-5xOcMJpTUk.wav,data/processed/musiccaps/mel/00012_-5xOcMJpTUk.npy
00013_-6HBGg1cAI0,-6HBGg1cAI0,30.0,10.0,This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,"[""['folk song'"", ""'traditional song'"", ""'middle eastern song'"", ""'male voice'"", ""'darbuka'"", ""'oud instrument'"", ""'moderate tempo'"", ""'middle eastern instruments']""]",data/processed/musiccaps/audio/00013_-6HBGg1cAI0.wav,data/processed/musiccaps/mel/00013_-6HBGg1cAI0.npy
00014_-6QGvxvaTkI,-6QGvxvaTkI,280.0,10.0,"The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.","[""['low quality'"", ""'echoing male vocal'"", ""'acoustic strings melody'"", ""'crowd chattering'"", ""'wooden percussions'"", ""'plucked strings melody'"", ""'live performance'"", ""'traditional'"", ""'noisy'"", ""'passionate']""]",data/processed/musiccaps/audio/00014_-6QGvxvaTkI.wav,data/processed/musiccaps/mel/00014_-6QGvxvaTkI.npy
00015_-6pcgdLfb_A,-6pcgdLfb_A,110.0,10.0,This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,"[""['r&b'"", ""'soul'"", ""'male vocal'"", ""'melodic singing'"", ""'strings sample'"", ""'strong bass'"", ""'electronic drums'"", ""'sensual'"", ""'groovy'"", ""'urban']""]",data/processed/musiccaps/audio/00015_-6pcgdLfb_A.wav,data/processed/musiccaps/mel/00015_-6pcgdLfb_A.npy
00016_-7B9tPuIP-w,-7B9tPuIP-w,450.0,10.0,"A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.","[""['male vocalist'"", ""'medium fast tempo'"", ""'monologue'"", ""'background music'"", ""'hit songs'"", ""'retro'"", ""'narrator'"", ""'narration'"", ""'documentary'"", ""'animated singing'"", ""'enthusiastic drumming'"", ""'cymbal ride'"", ""'electric guitar'"", ""'groovy bass lines'"", ""'rock and rock'"", ""'classic rock and rock'"", ""'muffled'"", ""'blues'"", ""'rock hits'"", ""'vocalisation']""]",data/processed/musiccaps/audio/00016_-7B9tPuIP-w.wav,data/processed/musiccaps/mel/00016_-7B9tPuIP-w.npy
00017_-7wUQP6G5EQ,-7wUQP6G5EQ,30.0,10.0,"The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.","[""['low quality'"", ""'noisy'"", ""'renaissance music'"", ""'soft wooden percussions'"", ""'mellow harmonized flute melody'"", ""'mellow'"", ""'soulful'"", ""'passionate'"", ""'emotional'"", ""'vintage']""]",data/processed/musiccaps/audio/00017_-7wUQP6G5EQ.wav,data/processed/musiccaps/mel/00017_-7wUQP6G5EQ.npy
00018_-88me9bBzrk,-88me9bBzrk,30.0,10.0,Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.,"[""['hindi'"", ""'tablas'"", ""'shrutibox'"", ""'bansuri flute'"", ""'medium tempo']""]",data/processed/musiccaps/audio/00018_-88me9bBzrk.wav,data/processed/musiccaps/mel/00018_-88me9bBzrk.npy
00019_-8C-gydUbR8,-8C-gydUbR8,30.0,10.0,"A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.","[""['gospel music'"", ""'poor sound quality'"", ""'children choir'"", ""'medium tempo'"", ""'black gospel music'"", ""'distorted sound quality'"", ""'meditative'"", ""'devotional'"", ""'inspiring'"", ""'motivational'"", ""'christian contemporary music'"", ""'steady drumming rhythm'"", ""'groovy bass line'"", ""'keyboard harmony'"", ""'retro christian songs']""]",data/processed/musiccaps/audio/00019_-8C-gydUbR8.wav,data/processed/musiccaps/mel/00019_-8C-gydUbR8.npy
00020_-8cgbhIR_pw,-8cgbhIR_pw,30.0,10.0,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.","[""['low quality'"", ""'passionate muddy male vocal'"", ""'arpeggiated acoustic guitar melody'"", ""'noisy'"", ""'muddy'"", ""'cover'"", ""'emotional'"", ""'ballad'"", ""'raw'"", ""'messy']""]",data/processed/musiccaps/audio/00020_-8cgbhIR_pw.wav,data/processed/musiccaps/mel/00020_-8cgbhIR_pw.npy
00021_-BHPu-dPmWQ,-BHPu-dPmWQ,30.0,10.0,"The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.","[""['intimate wide mixed vocals'"", ""'synth lead melody'"", ""'punchy kick'"", ""'noisy snare'"", ""'claps'"", ""'groovy bass guitar'"", ""'tinny wide hi hats'"", ""'short snare roll'"", ""'alternative/indie'"", ""'electric guitar melody'"", ""'easygoing'"", ""'melancholic']""]",data/processed/musiccaps/audio/00021_-BHPu-dPmWQ.wav,data/processed/musiccaps/mel/00021_-BHPu-dPmWQ.npy
00022_-BIMKnb3tlo,-BIMKnb3tlo,410.0,10.0,"This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.","[""['hindustani classical music'"", ""'harmonium'"", ""'bansuri'"", ""'tabla'"", ""'electronic drums'"", ""'upbeat'"", ""'joyful']""]",data/processed/musiccaps/audio/00022_-BIMKnb3tlo.wav,data/processed/musiccaps/mel/00022_-BIMKnb3tlo.npy
00023_-Bu7YaslRW0,-Bu7YaslRW0,30.0,10.0,A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,"[""['atmospheric'"", ""'cinematic'"", ""'calming'"", ""'flute/string/brass sound'"", ""'cymbals'"", ""'synth pad drone'"", ""'slow tempo']""]",data/processed/musiccaps/audio/00023_-Bu7YaslRW0.wav,data/processed/musiccaps/mel/00023_-Bu7YaslRW0.npy
00024_-ByoSbgzr4M,-ByoSbgzr4M,0.0,10.0,"This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.","[""['instrumental'"", ""'electric guitar'"", ""'stringed instrument'"", ""'vibrato'"", ""'sonic power'"", ""'amplified guitar'"", ""'fast tempo'"", ""'rapid'"", ""'vigorous'"", ""'dexterous'"", ""'skilled'"", ""'practice'"", ""'intense'"", ""'rock'"", ""'hard rock'"", ""'home recording']""]",data/processed/musiccaps/audio/00024_-ByoSbgzr4M.wav,data/processed/musiccaps/mel/00024_-ByoSbgzr4M.npy
00025_-CUp_Tmg2Y0,-CUp_Tmg2Y0,30.0,10.0,"The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.","[""['low quality'"", ""'mono'"", ""'noisy'"", ""'drums solo'"", ""'double pedal kick'"", ""'punchy snare'"", ""'shimmering cymbals'"", ""'boomy toms'"", ""'energetic'"", ""'manic']""]",data/processed/musiccaps/audio/00025_-CUp_Tmg2Y0.wav,data/processed/musiccaps/mel/00025_-CUp_Tmg2Y0.npy
00026_-DeAdhYKbGE,-DeAdhYKbGE,290.0,10.0,"A bagpipe ensemble playing a quick melody in unison, employing trills to ornament it.","[""['bagpipe ensemble'"", ""'unison melody'"", ""'drone'"", ""'quick melody'"", ""'trills'"", ""'ornamentation']""]",data/processed/musiccaps/audio/00026_-DeAdhYKbGE.wav,data/processed/musiccaps/mel/00026_-DeAdhYKbGE.npy
00027_-Dtir74TiUM,-Dtir74TiUM,40.0,10.0,This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,"[""['drum & bass'"", ""'electronic dance music'"", ""'hollering sample'"", ""'scratching'"", ""'synth'"", ""'electronic drums'"", ""'upbeat'"", ""'energetic'"", ""'eerie']""]",data/processed/musiccaps/audio/00027_-Dtir74TiUM.wav,data/processed/musiccaps/mel/00027_-Dtir74TiUM.npy
00028_-EVRXQpt1-8,-EVRXQpt1-8,50.0,10.0,"Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.","[""['oriental/ballad'"", ""'guitar like instrumental'"", ""'bass'"", ""'male voice singing'"", ""'female backing voice singing'"", ""'sad'"", ""'slow tempo'"", ""'harp']""]",data/processed/musiccaps/audio/00028_-EVRXQpt1-8.wav,data/processed/musiccaps/mel/00028_-EVRXQpt1-8.npy
00029_-FEPOSP7ay0,-FEPOSP7ay0,260.0,10.0,The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,"[""['loud bells impacts'"", ""'metallic squeaking sound'"", ""'low quality'"", ""'mono'"", ""'noisy']""]",data/processed/musiccaps/audio/00029_-FEPOSP7ay0.wav,data/processed/musiccaps/mel/00029_-FEPOSP7ay0.npy
00030_-FFx68qSAuY,-FFx68qSAuY,190.0,10.0,This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,"[""['punk rock'"", ""'gothic rock'"", ""'male vocals'"", ""'grunt-like singing'"", ""'electric guitar'"", ""'bass guitar'"", ""'acoustic guitar'"", ""'hard-hitting'"", ""'aggressive']""]",data/processed/musiccaps/audio/00030_-FFx68qSAuY.wav,data/processed/musiccaps/mel/00030_-FFx68qSAuY.npy
00031_-FlvaZQOr2I,-FlvaZQOr2I,90.0,10.0,"The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.","[""['building suspense'"", ""'cartoon show soundtrack'"", ""'story telling'"", ""'tense harmony'"", ""'drumming rolls'"", ""'poor audio quality'"", ""'instrumental music'"", ""'medium tempo'"", ""'suspense'"", ""'mystery'"", ""'string section harmony'"", ""'animated show'"", ""'horns playing to a crescendo'"", ""'low bass thumps']""]",data/processed/musiccaps/audio/00031_-FlvaZQOr2I.wav,data/processed/musiccaps/mel/00031_-FlvaZQOr2I.npy
